age,income,debt_ratio,n_accounts,late_payments,employed,default
43,28110.0,0.132,4,1,0,0
22,59010.0,0.236,0,0,1,0
32,16643.0,0.379,1,2,0,1
60,13029.0,0.202,8,0,0,0
68,29624.0,0.129,7,2,1,0
26,69446.0,0.231,5,1,0,0
64,50503.0,0.06,5,0,0,0
68,58000.0,0.068,3,0,1,0
52,55968.0,0.022,3,2,1,0
31,20808.0,0.495,6,1,0,1
53,31806.0,0.391,11,0,0,0
35,7928.0,0.096,5,1,1,0
37,22120.0,0.153,11,0,1,0
49,40661.0,0.418,9,1,0,1
28,13783.0,0.482,7,2,1,1
36,10718.0,0.586,6,0,0,1
67,15693.0,0.663,3,1,1,1
39,33540.0,0.385,2,2,0,1
51,53942.0,0.225,4,4,1,1
26,109773.0,0.103,7,1,0,0
56,61637.0,0.301,6,0,0,0
40,14136.0,0.453,2,0,1,0
50,9462.0,0.372,4,1,1,1
22,32569.0,0.06,8,0,1,0
30,51373.0,0.545,1,0,0,0
31,13480.0,0.252,1,0,0,0
27,23337.0,0.092,9,0,1,0
65,24226.0,0.147,10,0,0,0
45,30893.0,0.512,5,4,0,1
34,27792.0,0.134,9,0,1,0
32,39407.0,0.102,5,0,1,0
34,51712.0,0.805,9,0,0,1
32,31620.0,0.447,11,1,1,1
54,44437.0,0.497,0,2,1,1
47,82799.0,0.144,1,1,1,0
64,18351.0,0.118,10,1,0,0
61,18131.0,0.422,10,1,1,1
35,39526.0,0.654,10,1,0,1
36,77431.0,0.268,11,1,1,0
39,33367.0,0.349,3,4,0,1
61,53059.0,0.179,7,1,1,0
56,26354.0,0.176,8,0,0,0
42,48644.0,0.217,9,0,1,0
59,22512.0,0.264,11,1,0,0
51,43188.0,0.175,4,1,0,0
51,37596.0,0.511,6,1,0,1
56,37617.0,0.308,6,4,1,1
29,61532.0,0.282,11,1,1,0
53,52785.0,0.173,6,0,0,0
29,22966.0,0.265,0,1,1,0
25,48290.0,0.365,8,0,1,0
58,13278.0,0.237,5,1,1,0
22,50981.0,0.462,9,0,1,0
55,123097.0,0.317,8,0,1,0
31,40636.0,0.243,1,0,1,0
64,40229.0,0.088,7,0,1,0
22,32253.0,0.246,4,0,1,0
59,47432.0,0.172,2,1,1,0
65,25005.0,0.132,3,1,0,0
41,43885.0,0.101,2,1,0,0
68,27427.0,0.449,9,1,0,0
27,25442.0,0.285,7,0,0,0
63,33507.0,0.301,11,0,1,0
64,30591.0,0.082,6,0,0,0
32,13246.0,0.215,7,1,0,0
55,89176.0,0.149,1,0,1,0
57,33886.0,0.412,10,0,1,0
49,13540.0,0.23,3,0,0,1
22,54202.0,0.569,8,0,1,0
54,31185.0,0.514,4,0,1,0
25,35045.0,0.547,4,1,1,1
39,45064.0,0.339,0,0,0,0
34,20228.0,0.753,10,1,0,1
37,7263.0,0.319,6,0,1,0
69,30110.0,0.648,2,1,0,1
49,35727.0,0.42,0,0,1,0
37,52260.0,0.336,5,0,0,0
44,21681.0,0.387,7,0,0,0
55,27703.0,0.073,2,0,0,0
55,38651.0,0.29,0,1,0,0
60,27025.0,0.435,5,0,0,0
66,27944.0,0.229,3,1,0,0
64,35959.0,0.352,8,1,0,1
62,19238.0,0.228,1,2,0,1
51,69890.0,0.035,8,0,1,0
39,19958.0,0.226,5,0,1,0
39,32225.0,0.033,10,1,1,0
39,26837.0,0.442,5,0,1,0
43,22207.0,0.216,4,2,1,0
66,41341.0,0.517,3,1,0,1
53,52440.0,0.688,8,1,0,1
40,65490.0,0.321,5,0,0,0
59,42301.0,0.211,10,2,1,0
60,25267.0,0.431,3,0,0,0
28,48656.0,0.305,9,0,1,0
25,15347.0,0.438,10,1,1,1
42,32376.0,0.267,9,0,0,0
43,41008.0,0.459,5,0,0,0
23,41854.0,0.069,8,0,1,0
46,17734.0,0.304,0,0,1,0
50,14905.0,0.091,3,1,1,0
60,72282.0,0.123,5,1,1,0
49,24366.0,0.22,5,0,1,0
64,13798.0,0.409,5,1,1,1
42,16905.0,0.216,2,0,1,0
28,31601.0,0.171,5,2,1,1
56,56577.0,0.137,4,1,1,0
51,31291.0,0.409,5,0,1,0
44,57060.0,0.12,11,0,1,0
51,35029.0,0.837,6,0,0,1
31,39570.0,0.206,2,1,1,0
28,51090.0,0.146,5,1,0,1
37,25858.0,0.286,3,1,1,0
61,36160.0,0.036,11,0,1,0
61,25667.0,0.575,11,2,1,1
48,22645.0,0.348,1,0,0,0
34,43204.0,0.479,7,1,0,1
68,20625.0,0.5,11,0,1,0
68,32344.0,0.288,5,2,1,0
30,20908.0,0.4,0,1,1,1
54,29677.0,0.133,4,0,1,0
46,23818.0,0.022,4,1,0,0
63,53540.0,0.464,7,0,0,1
36,32204.0,0.252,7,0,1,0
44,32135.0,0.24,9,0,1,0
52,70415.0,0.402,0,0,0,0
52,7251.0,0.263,8,0,1,0
50,17611.0,0.209,4,0,0,0
33,7802.0,0.136,2,2,0,0
46,30551.0,0.112,0,1,0,0
65,38122.0,0.282,3,2,0,0
36,42195.0,0.254,1,2,1,0
32,34936.0,0.552,5,1,1,1
45,19732.0,0.237,1,1,1,0
43,73240.0,0.228,9,2,0,0
39,35474.0,0.142,10,0,0,0
69,26706.0,0.323,1,0,1,0
64,17354.0,0.021,11,0,0,0
26,37477.0,0.326,3,2,1,0
43,23736.0,0.442,2,1,1,1
52,24211.0,0.327,3,1,1,0
44,33597.0,0.507,7,1,1,1
68,33756.0,0.563,10,0,1,0
33,20067.0,0.101,9,0,0,0
66,56574.0,0.345,3,1,1,0
33,18305.0,0.826,8,0,0,1
64,17274.0,0.086,2,0,1,0
67,35198.0,0.171,5,0,0,0
33,32142.0,0.365,3,2,1,1
36,31214.0,0.371,5,0,1,0
25,24522.0,0.238,5,0,0,0
63,30755.0,0.323,7,0,0,0
29,22711.0,0.345,4,0,0,0
50,13193.0,0.345,9,0,1,0
37,43438.0,0.099,10,0,1,0
69,18115.0,0.114,3,0,0,0
52,26806.0,0.069,5,0,0,0
29,43309.0,0.433,10,1,1,0
58,30405.0,0.051,10,1,0,0
67,118327.0,0.24,7,1,1,0
48,14915.0,0.054,11,2,0,0
58,20648.0,0.224,11,0,0,0
56,31363.0,0.231,9,1,1,0
48,59114.0,0.04,11,0,0,0
60,26485.0,0.463,10,1,1,1
55,14655.0,0.209,11,0,0,0
29,53089.0,0.211,1,3,0,0
56,18900.0,0.049,7,2,0,0
48,27127.0,0.258,7,0,0,1
42,46531.0,0.226,2,1,1,0
50,21420.0,0.267,6,1,0,0
52,23875.0,0.129,10,0,1,0
27,38179.0,0.063,7,1,0,0
32,27011.0,0.378,4,0,0,0
58,34505.0,0.111,3,0,0,0
22,18621.0,0.115,11,2,0,1
26,28154.0,0.259,5,1,1,0
54,17305.0,0.191,9,1,0,1
30,13705.0,0.557,5,0,0,1
44,71817.0,0.515,3,1,1,0
59,37455.0,0.267,6,0,0,0
65,47182.0,0.348,10,2,0,0
61,18385.0,0.569,0,2,0,1
33,29398.0,0.331,1,0,1,0
36,26906.0,0.141,11,1,0,0
61,14651.0,0.563,8,0,1,0
59,39174.0,0.562,6,0,0,0
69,20775.0,0.137,5,1,1,0
57,26930.0,0.168,0,0,0,0
65,13957.0,0.19,3,2,0,1
40,48958.0,0.33,9,0,1,0
68,43556.0,0.293,7,0,1,0
37,36256.0,0.218,9,0,0,0
28,18911.0,0.549,10,2,1,1
47,22758.0,0.298,4,1,1,0
29,54887.0,0.118,2,2,0,0
23,25944.0,0.244,4,0,0,0
32,34048.0,0.095,4,1,0,0
39,31966.0,0.065,10,0,1,0
38,17030.0,0.117,4,1,1,0
21,63841.0,0.172,9,2,0,0
26,11049.0,0.481,7,0,1,0
26,33323.0,0.381,5,1,1,0
28,28516.0,0.167,11,0,1,0
58,13268.0,0.05,9,1,0,0
21,35173.0,0.569,3,1,0,1
36,38642.0,0.217,2,0,0,0
66,30573.0,0.41,1,1,0,1
38,19696.0,0.362,6,2,1,1
38,37310.0,0.289,1,1,0,0
57,52021.0,0.399,8,1,0,0
51,33277.0,0.473,11,0,0,1
32,70547.0,0.073,4,0,1,0
43,45784.0,0.396,9,1,0,0
45,43780.0,0.382,4,0,1,0
57,59720.0,0.203,10,3,0,1
41,21410.0,0.786,2,1,1,1
60,22965.0,0.186,4,0,0,0
42,38569.0,0.439,7,1,1,0
39,38644.0,0.213,1,1,1,0
37,63397.0,0.581,0,0,0,1
47,52863.0,0.154,6,0,0,0
44,32554.0,0.13,5,0,1,0
25,33277.0,0.495,6,1,1,0
40,26006.0,0.282,5,0,0,0
34,24882.0,0.21,6,1,1,0
45,23837.0,0.066,6,1,1,0
31,46977.0,0.102,2,2,0,0
64,23635.0,0.103,8,0,1,0
36,25060.0,0.103,11,0,0,0
46,32424.0,0.615,0,3,1,1
36,23188.0,0.13,4,1,0,0
49,26743.0,0.09,1,2,1,0
49,10076.0,0.395,8,0,1,0
39,36210.0,0.191,8,0,1,0
37,25809.0,0.692,7,1,0,1
54,33133.0,0.512,3,0,1,0
37,36237.0,0.361,10,0,0,1
43,11939.0,0.212,2,0,0,0
61,100587.0,0.126,10,0,0,0
22,32885.0,0.008,0,1,1,0
21,33353.0,0.504,1,0,1,0
44,12553.0,0.141,1,1,0,0
21,42026.0,0.138,2,2,1,0
48,38014.0,0.133,5,0,1,0
23,25958.0,0.314,7,3,0,1
31,35332.0,0.349,9,2,0,1
63,59548.0,0.372,6,0,0,0
46,26637.0,0.104,3,1,0,0
52,20117.0,0.24,10,1,0,0
30,61714.0,0.332,10,1,0,0
56,36322.0,0.245,2,0,1,0
29,29173.0,0.27,0,2,1,0
67,100888.0,0.157,4,1,1,0
24,34622.0,0.389,7,2,0,1
31,29332.0,0.253,8,1,0,1
65,36557.0,0.323,1,0,0,0
66,26182.0,0.569,2,1,1,1
31,35612.0,0.171,10,1,1,0
32,34462.0,0.395,6,0,0,0
68,23026.0,0.269,9,0,1,0
46,28055.0,0.356,1,3,0,1
55,37267.0,0.468,11,1,0,1
54,38613.0,0.152,5,1,0,0
49,42638.0,0.386,8,0,0,0
60,47144.0,0.074,6,0,1,0
29,36035.0,0.217,11,1,0,1
33,41169.0,0.067,5,1,1,0
28,26263.0,0.201,4,0,1,0
44,27913.0,0.033,2,0,0,0
22,53284.0,0.154,8,0,1,0
23,11795.0,0.392,10,1,1,0
35,38058.0,0.276,1,4,0,1
35,153415.0,0.365,11,1,1,0
61,12492.0,0.423,2,0,1,0
69,66617.0,0.588,1,2,0,1
36,13042.0,0.29,3,1,0,1
65,37516.0,0.188,2,0,0,0
62,70296.0,0.255,2,2,1,0
49,65447.0,0.311,3,1,1,0
46,19721.0,0.126,1,0,0,0
59,16160.0,0.076,5,1,1,0
25,15052.0,0.213,4,2,0,1
65,44103.0,0.511,8,1,0,0
30,25298.0,0.17,5,2,0,1
37,30794.0,0.459,5,0,1,0
62,34887.0,0.632,6,1,0,1
69,37587.0,0.249,8,0,1,0
26,39963.0,0.151,1,0,1,0
42,32492.0,0.701,2,0,0,1
65,13672.0,0.177,5,2,1,1
28,63132.0,0.351,11,0,0,0
45,7718.0,0.115,7,0,1,0
46,56485.0,0.158,4,0,0,0
21,22511.0,0.418,0,0,1,0
50,27553.0,0.258,10,1,1,0
42,23409.0,0.097,1,0,1,0
54,25253.0,0.683,9,2,1,1
61,30038.0,0.803,5,0,0,1
53,26389.0,0.424,4,2,1,1
66,17524.0,0.525,3,1,0,1
23,46380.0,0.248,9,2,1,0
61,22691.0,0.296,1,1,1,0
52,59331.0,0.048,8,1,0,0
67,28078.0,0.301,9,1,0,0
66,21294.0,0.521,5,2,0,1
50,37699.0,0.325,4,0,1,0
53,47235.0,0.381,0,1,1,0
48,19089.0,0.539,6,0,0,1
68,26290.0,0.163,2,1,1,0
29,61838.0,0.126,3,0,0,0
46,18387.0,0.164,1,0,0,0
63,19804.0,0.436,10,1,1,0
60,32924.0,0.162,6,1,1,0
40,16502.0,0.359,11,0,1,1
27,8834.0,0.145,5,0,1,0
37,13156.0,0.249,4,1,0,1
64,36522.0,0.281,8,1,0,0
35,42019.0,0.645,3,1,0,1
42,40727.0,0.688,10,0,0,1
29,36820.0,0.264,3,0,0,0
63,16351.0,0.313,3,0,0,0
44,42499.0,0.136,5,1,1,0
36,53884.0,0.558,1,1,1,0
25,21371.0,0.263,7,0,0,0
51,48530.0,0.568,8,0,1,0
42,25217.0,0.17,9,2,1,0
62,33324.0,0.316,2,0,0,0
67,36421.0,0.19,0,1,0,0
55,14419.0,0.185,1,0,0,0
27,63083.0,0.037,9,2,0,0
51,19764.0,0.261,10,1,1,0
63,28828.0,0.491,1,1,0,1
68,23690.0,0.436,4,0,0,0
36,38135.0,0.197,6,1,1,0
25,37642.0,0.386,5,1,1,0
31,30655.0,0.468,8,2,1,1
25,61511.0,0.202,7,2,1,0
51,34941.0,0.158,1,0,1,0
48,24849.0,0.533,10,1,1,1
43,7189.0,0.51,6,0,0,0
67,26355.0,0.425,4,0,0,1
29,26245.0,0.575,10,0,0,1
54,19631.0,0.207,11,1,0,0
68,19735.0,0.286,10,1,1,0
36,40827.0,0.272,6,3,0,1
47,51173.0,0.21,3,0,0,0
26,78267.0,0.199,6,0,0,0
38,53731.0,0.375,2,0,0,0
42,21306.0,0.177,5,2,0,0
56,34499.0,0.173,8,0,0,0
44,15350.0,0.401,4,0,0,0
59,43735.0,0.215,8,1,0,0
43,36294.0,0.247,7,1,1,0
30,22365.0,0.59,3,0,1,0
51,28793.0,0.396,2,0,0,0
28,26780.0,0.218,0,0,1,0
34,22079.0,0.132,1,0,1,0
64,58753.0,0.238,10,3,0,1
64,143391.0,0.449,5,1,1,0
61,45831.0,0.179,6,1,1,0
35,51531.0,0.199,9,0,0,0
54,32896.0,0.297,4,1,1,0
26,25496.0,0.185,8,0,1,0
58,91023.0,0.317,0,0,1,0
38,25294.0,0.406,3,1,0,1
29,37024.0,0.516,9,0,0,1
66,28617.0,0.374,1,1,0,0
44,40813.0,0.453,10,0,0,1
28,29637.0,0.342,3,0,1,0
53,40865.0,0.208,11,1,0,0
34,16125.0,0.415,3,0,1,0
54,28880.0,0.28,10,0,1,0
66,60269.0,0.229,1,0,1,0
38,18118.0,0.448,11,1,1,1
38,21756.0,0.083,5,0,1,0
30,60274.0,0.165,11,0,0,0
62,37180.0,0.129,7,2,1,0
38,51826.0,0.198,9,3,0,1
23,9921.0,0.544,5,1,1,1
41,32656.0,0.29,8,2,0,0
64,16043.0,0.228,0,3,1,1
26,15137.0,0.427,3,0,0,1
32,37287.0,0.204,1,0,1,0
67,54877.0,0.202,3,0,1,0
29,14355.0,0.406,5,1,0,1
26,17434.0,0.488,1,0,0,1
57,22646.0,0.173,6,1,1,0
24,28466.0,0.466,7,1,1,1
69,15578.0,0.118,5,4,1,1
62,93988.0,0.354,2,0,0,0
68,40682.0,0.572,4,1,1,1
55,25300.0,0.205,9,0,0,0
57,23359.0,0.526,8,0,0,1
27,97038.0,0.376,11,0,1,0
65,93044.0,0.534,6,0,1,0
66,23687.0,0.309,2,0,0,0
69,36011.0,0.235,9,0,0,0
51,56873.0,0.385,1,1,1,0
48,16695.0,0.246,11,0,1,0
29,22515.0,0.211,6,2,0,1
28,59484.0,0.551,5,1,0,1
51,21326.0,0.502,8,0,1,0
62,24309.0,0.273,7,0,0,0
55,15350.0,0.295,1,0,0,0
40,20594.0,0.126,9,1,1,0
52,42533.0,0.241,7,0,1,0
36,19934.0,0.338,8,0,0,1
22,15633.0,0.517,11,0,1,0
45,21949.0,0.073,1,1,1,0
67,73216.0,0.163,6,0,0,0
22,32851.0,0.253,4,2,0,0
33,22666.0,0.269,4,0,0,0
21,32430.0,0.238,6,0,1,0
40,37495.0,0.306,10,0,0,0
33,31889.0,0.213,3,0,0,0
29,12094.0,0.213,1,2,1,1
50,34831.0,0.254,5,0,1,0
62,26910.0,0.263,10,0,0,0
57,45757.0,0.1,11,0,0,0
64,15162.0,0.436,7,1,0,1
67,50689.0,0.502,8,0,1,0
61,23307.0,0.192,6,2,1,0
61,12663.0,0.245,4,3,0,1
24,58342.0,0.454,4,0,0,0
67,23039.0,0.126,5,0,0,0
24,36024.0,0.272,8,2,0,0
52,27506.0,0.378,10,0,0,0
69,51700.0,0.591,9,0,0,0
56,51996.0,0.437,2,2,1,0
56,52247.0,0.351,1,0,1,0
49,42692.0,0.435,8,0,0,0
34,13210.0,0.468,2,0,1,0
24,12767.0,0.097,8,1,0,0
52,32921.0,0.377,2,0,0,1
24,18409.0,0.147,2,1,1,0
46,37616.0,0.101,0,0,0,0
58,32333.0,0.194,4,2,1,0
29,14584.0,0.313,7,1,0,0
30,17633.0,0.48,5,0,0,0
65,16784.0,0.031,10,1,1,0
59,19001.0,0.222,3,1,0,0
56,26769.0,0.445,9,1,0,0
43,41881.0,0.377,11,0,0,0
67,58349.0,0.159,7,1,1,0
21,18211.0,0.008,7,0,0,0
33,22358.0,0.547,3,0,0,0
48,65042.0,0.031,1,1,1,0
23,46633.0,0.302,5,0,0,0
42,33420.0,0.472,4,0,0,0
46,9090.0,0.201,11,1,0,1
24,17866.0,0.468,1,1,1,0
29,32168.0,0.154,7,0,1,0
33,22048.0,0.087,5,1,0,0
67,81052.0,0.362,4,0,1,0
36,31078.0,0.05,8,0,1,0
52,34252.0,0.235,2,0,0,0
37,17047.0,0.226,5,0,0,0
35,17528.0,0.572,11,0,1,1
55,21204.0,0.235,7,2,0,1
61,21640.0,0.224,9,0,0,0
29,26377.0,0.505,3,1,1,1
29,35847.0,0.435,10,1,1,0
42,33460.0,0.475,1,1,0,1
44,49220.0,0.048,7,0,0,0
50,14992.0,0.151,3,0,0,0
54,33009.0,0.164,4,0,1,0
67,33498.0,0.214,9,0,0,0
65,66180.0,0.255,8,1,1,0
26,26579.0,0.552,2,1,0,1
31,34990.0,0.082,7,0,0,0
24,19651.0,0.107,5,2,0,0
67,36748.0,0.553,1,0,1,0
30,36276.0,0.159,8,0,0,0
52,21607.0,0.392,3,1,1,0
31,23773.0,0.289,6,0,1,0
30,29200.0,0.127,10,1,1,0
28,39781.0,0.17,2,0,0,0
67,16603.0,0.204,9,0,1,0
24,46401.0,0.131,6,3,0,0
63,25091.0,0.136,10,2,0,0
31,77481.0,0.387,11,0,0,0
22,62086.0,0.065,3,1,1,0
31,24194.0,0.215,4,0,1,0
38,21625.0,0.107,7,0,1,0
44,102785.0,0.367,1,0,0,0
49,40810.0,0.619,9,0,0,1
52,39549.0,0.328,7,0,1,0
48,23968.0,0.357,0,0,0,1
38,27802.0,0.245,6,1,0,0
36,44604.0,0.111,5,0,1,0
29,40531.0,0.101,10,0,1,0
40,19541.0,0.429,2,2,1,1
25,55658.0,0.265,8,1,1,0
43,34700.0,0.33,2,0,1,0
33,18363.0,0.227,8,1,0,0
51,49103.0,0.183,9,2,1,0
29,27178.0,0.237,6,1,1,0
49,44116.0,0.23,4,1,0,0
44,22450.0,0.246,4,1,1,0
43,35664.0,0.372,9,1,0,0
63,13078.0,0.236,8,0,1,0
41,35864.0,0.211,6,1,0,0
56,13783.0,0.258,10,0,1,0
26,32258.0,0.425,6,1,0,1
30,8254.0,0.021,1,0,1,0
50,28757.0,0.384,5,2,0,1
22,42790.0,0.62,11,2,0,1
68,37947.0,0.314,6,1,1,0
24,54347.0,0.147,8,1,0,0
53,17276.0,0.381,4,0,0,1
42,65564.0,0.191,10,1,1,0
59,66818.0,0.173,4,0,0,0
38,16200.0,0.293,5,0,1,0
68,19877.0,0.189,8,1,0,0
54,22257.0,0.687,1,0,1,1
24,29353.0,0.236,1,0,0,0
25,32615.0,0.416,2,1,1,1
35,8543.0,0.407,3,0,1,0
33,40061.0,0.354,7,0,0,0
63,26103.0,0.076,4,2,1,0
54,17757.0,0.128,2,2,0,0
60,47943.0,0.553,1,2,1,0
48,24943.0,0.24,10,2,0,1
27,52664.0,0.253,1,0,1,0
46,38838.0,0.561,3,1,1,1
54,25251.0,0.128,11,1,1,0
65,53617.0,0.271,8,0,1,0
39,44563.0,0.539,10,1,0,1
26,22994.0,0.161,7,3,0,1
34,13156.0,0.412,3,0,1,0
30,22517.0,0.285,3,0,0,0
36,40494.0,0.125,2,1,0,0
48,26307.0,0.531,2,0,1,0
52,72204.0,0.566,2,0,1,0
48,33832.0,0.289,0,0,1,0
21,32721.0,0.125,11,2,0,1
69,36353.0,0.47,4,1,0,1
34,19001.0,0.482,8,0,0,1
68,27883.0,0.266,10,1,1,0
22,21248.0,0.552,6,1,0,1
49,9077.0,0.379,6,0,0,0
55,12097.0,0.37,10,1,1,1
58,43013.0,0.164,4,0,1,0
61,23707.0,0.337,11,1,1,0
55,27882.0,0.208,8,0,0,0
31,14076.0,0.169,4,1,1,0
27,22040.0,0.219,8,1,0,0
52,44007.0,0.671,11,0,1,0
50,31133.0,0.231,8,2,1,0
44,22825.0,0.153,3,0,1,0
35,64123.0,0.597,7,0,1,0
26,28762.0,0.384,10,1,0,0
38,24853.0,0.299,10,2,1,1
37,52799.0,0.031,0,1,0,0
28,12365.0,0.124,3,0,0,0
22,39146.0,0.258,0,1,0,0
21,16904.0,0.299,2,0,0,0
51,19927.0,0.542,11,0,1,0
62,21002.0,0.521,5,0,1,0
52,31642.0,0.135,0,0,1,0
56,31297.0,0.152,11,0,1,0
35,34548.0,0.326,3,1,1,0
57,32935.0,0.121,8,1,1,0
58,60098.0,0.077,8,0,1,0
35,69504.0,0.619,7,2,0,1
21,42387.0,0.062,1,1,1,0
41,43422.0,0.427,1,1,1,0
64,24542.0,0.368,8,0,0,0
29,17039.0,0.163,4,1,1,0
33,39951.0,0.306,0,0,1,0
50,30197.0,0.286,7,1,1,0
33,45693.0,0.05,9,0,0,0
62,11826.0,0.348,3,1,1,1
42,114374.0,0.317,8,1,1,0
59,15634.0,0.3,2,0,1,0
30,30200.0,0.035,10,0,1,0
66,48892.0,0.203,10,0,0,0
37,14777.0,0.213,1,0,0,0
33,22457.0,0.167,5,1,0,0
41,10726.0,0.378,9,0,0,0
55,14436.0,0.139,4,0,0,0
36,11180.0,0.457,2,0,1,0
27,31282.0,0.395,6,3,1,1
60,34427.0,0.116,9,0,0,0
47,25303.0,0.238,4,1,1,0
66,56117.0,0.222,2,0,0,0
26,59773.0,0.04,11,0,1,0
58,29593.0,0.196,3,0,1,0
47,26574.0,0.033,2,0,0,0
58,25869.0,0.332,4,0,0,0
47,23644.0,0.19,8,2,1,0
25,57369.0,0.34,10,0,0,0
38,33490.0,0.399,4,1,0,1
43,25139.0,0.405,9,0,0,1
38,26501.0,0.235,2,1,0,0
37,39125.0,0.646,2,0,1,1
55,24316.0,0.216,3,0,1,0
26,34824.0,0.395,1,1,0,1
44,29194.0,0.208,6,0,1,0
68,58827.0,0.308,6,2,1,0
40,53316.0,0.482,8,0,0,0
23,14567.0,0.607,10,0,1,0
26,27432.0,0.253,4,1,1,1
67,42561.0,0.114,6,0,1,0
34,23725.0,0.203,8,0,0,0
34,44742.0,0.271,10,1,0,0
62,35228.0,0.201,11,0,0,0
33,40106.0,0.724,10,0,0,1
68,28828.0,0.047,7,1,0,0
27,34683.0,0.131,8,1,0,0
39,38741.0,0.383,9,1,0,0
44,14194.0,0.059,8,2,0,1
63,18767.0,0.039,10,1,1,0
49,17827.0,0.289,9,3,1,1
63,69443.0,0.389,5,1,0,0
67,34668.0,0.08,9,0,0,0
31,35910.0,0.249,3,1,1,0
57,32486.0,0.079,11,1,0,0
34,22936.0,0.344,11,3,0,1
67,20463.0,0.132,8,0,1,0
55,45646.0,0.515,2,0,0,1
45,24678.0,0.243,1,0,0,0
35,65947.0,0.165,10,0,0,0
52,32872.0,0.496,9,0,0,0
67,31198.0,0.372,4,2,0,1
27,26682.0,0.431,3,0,0,1
38,28708.0,0.06,2,1,1,0
61,30316.0,0.293,4,1,0,0
56,64073.0,0.092,9,0,1,0
49,96467.0,0.362,5,0,1,0
55,16687.0,0.227,11,0,1,0
39,33897.0,0.321,6,1,0,0
31,42569.0,0.215,2,3,1,0
37,18939.0,0.324,8,1,0,1
63,21695.0,0.178,2,1,0,0
30,23700.0,0.274,7,0,1,0
37,8899.0,0.361,3,2,0,1
24,41365.0,0.552,4,1,1,0
26,29150.0,0.257,2,0,1,0
49,28477.0,0.233,1,0,1,0
23,31098.0,0.348,7,0,0,1
59,33829.0,0.098,6,2,1,0
43,95432.0,0.344,0,1,0,0
51,32700.0,0.359,2,1,0,1
52,45398.0,0.272,4,0,1,0
69,23001.0,0.444,1,2,1,1
34,35654.0,0.301,5,0,1,0
34,25511.0,0.093,1,1,1,0
62,27718.0,0.249,9,0,0,0
48,18987.0,0.388,5,1,1,0
34,19838.0,0.306,6,0,1,0
22,37577.0,0.146,10,2,0,0
62,43470.0,0.296,5,1,1,0
30,37677.0,0.056,8,0,0,0
22,21349.0,0.38,10,2,0,1
67,35056.0,0.133,11,2,1,0
33,8382.0,0.182,10,0,0,0
22,48032.0,0.387,6,0,0,0
28,29363.0,0.182,7,0,1,0
39,34297.0,0.07,9,1,0,0
42,53718.0,0.263,7,1,0,0
45,24243.0,0.296,1,1,0,0
38,48482.0,0.029,4,0,1,0
52,24044.0,0.197,10,0,0,0
40,39406.0,0.224,10,1,0,0
40,24456.0,0.398,8,1,1,0
62,34952.0,0.495,7,1,1,0
45,62164.0,0.211,7,0,1,0
49,21665.0,0.246,2,1,0,1
35,22113.0,0.14,1,1,1,0
50,25503.0,0.345,4,1,0,0
53,34957.0,0.071,7,0,1,0
40,119407.0,0.327,10,0,1,0
43,22508.0,0.195,3,2,1,1
60,10811.0,0.126,9,0,1,0
35,21689.0,0.611,10,1,1,1
45,13611.0,0.179,8,1,0,0
24,22755.0,0.123,6,1,1,0
57,30396.0,0.128,8,1,1,0
29,18636.0,0.059,11,1,1,0
65,21424.0,0.21,10,0,1,0
38,11815.0,0.333,8,0,1,0
50,33026.0,0.449,0,0,0,1
55,20726.0,0.085,1,0,1,0
42,52019.0,0.257,8,1,1,0
30,51119.0,0.249,0,1,1,0
33,19525.0,0.336,7,0,0,0
53,25084.0,0.183,4,0,1,0
65,31037.0,0.083,9,2,1,0
64,44185.0,0.323,11,1,1,0
58,13067.0,0.191,4,0,0,0
61,29166.0,0.487,5,2,1,1
60,76973.0,0.215,2,0,1,0
38,28936.0,0.398,6,0,1,0
31,33822.0,0.224,7,0,0,0
64,30294.0,0.421,6,1,0,1
42,16661.0,0.276,10,1,0,0
52,48791.0,0.286,11,0,1,0
64,34680.0,0.086,11,2,1,0
61,32907.0,0.444,11,0,0,0
33,43657.0,0.064,0,1,0,0
67,45015.0,0.752,3,0,0,1
60,11737.0,0.388,4,2,0,1
21,38650.0,0.271,6,1,1,0
47,22666.0,0.435,10,0,1,0
21,32904.0,0.22,0,1,0,0
31,21239.0,0.567,1,2,1,1
52,19687.0,0.087,11,1,0,0
39,49004.0,0.256,9,1,1,0
50,30294.0,0.451,10,0,1,0
24,26413.0,0.097,11,0,1,0
27,26354.0,0.127,11,0,0,0
53,31720.0,0.252,8,0,1,0
31,30228.0,0.281,8,0,1,0
56,9313.0,0.411,10,3,1,1
32,19710.0,0.447,7,2,1,1
22,27120.0,0.46,0,0,1,1
22,44401.0,0.529,0,0,1,0
35,60492.0,0.46,0,1,1,0
23,19157.0,0.299,5,1,0,1
58,80838.0,0.436,9,2,1,0
24,32138.0,0.385,3,0,1,0
30,39203.0,0.344,5,3,1,1
52,23500.0,0.122,2,1,0,0
47,22694.0,0.359,7,2,1,1
50,63181.0,0.254,4,1,1,0
60,27590.0,0.374,4,0,0,0
52,29267.0,0.167,4,0,1,0
48,55097.0,0.252,0,0,1,0
34,73166.0,0.262,11,2,1,0
26,14569.0,0.172,1,0,0,0
68,28117.0,0.266,4,1,0,1
65,30754.0,0.29,3,0,0,0
53,76799.0,0.172,10,1,1,0
